device_name,date,time,temp,humid,soil,soil_temp,salt,bat,batcharge,wifi_ssid,Gn
30c6f71d7da4,2023-01-19,09:07,11.7,73.0,65.0,4095.938,94.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,09:13,11.9,72.0,64.0,4095.938,94.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,09:18,12.1,72.0,64.0,4095.938,95.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,09:23,12.3,70.0,63.0,4095.938,94.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,09:28,12.5,71.0,65.0,4095.938,95.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,09:33,13.2,68.0,63.0,4095.938,94.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,09:38,13.5,66.0,64.0,4095.938,96.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,09:44,14.2,65.0,64.0,4095.938,95.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,09:49,14.0,65.0,63.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,09:54,13.9,66.0,64.0,4095.938,96.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,09:59,13.7,67.0,64.0,4095.938,96.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,10:04,13.9,66.0,63.0,4095.938,96.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,10:10,13.9,66.0,64.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,10:15,14.0,67.0,64.0,4095.938,96.0,100.0,charging,Fly in the sky 2.4g,1
30c6f71d7da4,2023-01-19,10:21,14.3,67.0,63.0,4095.938,97.0,100.0,charging,Fly in the sky 2.4g,1
